N_REGISTRO,PRAIA,TIPO_REG,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,INCUBACAO,COLETA_MAT_Filhotes,OBSERVACAO
1,Leao,CD,X-Dec-2019,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,2,NA,NA,11-Jan-20,13-Jan-20,SU,68,0,7,75,NA,NA,"Avisada por ICMBIO viu no dia 22/11, porem equipe so viu 3/12"
2,Leao,CD,X-Dec-2019,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,22-Jan-20,26-Jan-20,SU,118,1,66,185,NA,NA,Ocorreu entre 27/11 e 3/12 polo branco bem evidente
3,Leao,CD,X-Dec-2019,1,NA,11,N01,-3.869748,-32.436963,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,29-Dec-19,30-Dec-20,SU,71,0,13,84,NA,NA,GPS 11 - N01
4,Leao,CD,14-Dec-19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,2-Feb-20,2-Feb-20,SU,64,2,20,86,50,NAO,
5,Leao,CD,15-Dec-19,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,7-Feb-20,10-Feb-20,SU,65,13,7,85,54,SIM - 8 filhotes,
6,Leao,CD,19-Dec-19,7,20:43,11,N07,-3.869871,-32.437259,BRA 21602,NA,BR 26380,NA,NA,112.5,105,SIM,#7 - 19/12/19 - BRA21602,I,896691,12/20/2019 00:52,2/13/2019 00:17,NA,NA,NA,NA,NA,11-Feb-20,12-Feb-20,SU,108,17,43,168,54,SIM - 88 filhotes,GPS 11 - N07
7,Leao,ML,24-Dec-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 1 e 2:10.
8,Leao,ML,24-Dec-19,NA,02:10,11,ML01,-3.86991,-32.43721,BRA 21607,BRA 21608,NA,NA,NA,99.5,96.1,SIM,#ML - 24/12/19 - BRA21607/ BRA21608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPS11; waypoint = ML01; curved minimum carapace length = 97 cm; pele machucada no pescoço e nadadeira, provavelmente por cópula. "
9,Leao,CD,26-Dec-19,8,20:35,NA,NA,-3.870013,-32.437891,BRA 21606,BRA 21609,NA,NA,NA,113.4,107.5,SIM,#8 - 26/12/19 - BRA21606/ BRA21609,I,895561,12/26/2019 22:23,2/19/2020 08:04,NA,NA,NA,NA,NA,17-Feb-20,18-Feb-20,SU,64,5,10,79,53,SIM - 32 filhotes," GPS 11 - N08. Queloides, possivel cicatriz. BRA21609 colocada na posterior (muito gorda). Marca de copula profunda. 4 ovos anomalos."
10,Leao,CD,27-Dec-19,9,00:40,11,N09,-3.86978,-32.437193,BRA 21610,NA,BR 83334,NA,NA,112.8,110,SIM,#9 - 27/12/19 - BR83334/ BRA21610,I,895562,12/28/2019 02:08,2/20/2020 23:29,NA,NA,NA,NA,NA,18-Feb-20,20-Feb-20,SU,83,11,7,101,53,SIM - 32 filhotes,GPS 11 - N09
11,Leao,CD,28-Dec-19,10,20:00,10,N10,-3.869657,-32.436526,NA,NA,BR 38657,BR 38683,NA,110,103,SIM,#10 - 28/12/19 - BR38657/ BR38683,I,896699,12/28/2019 20:37,2/19/2020 21:44,NA,NA,NA,NA,NA,19-Feb-20,19-Feb-20,SU,86,7,4,97,53,SIM - 86 filhotes,GPS 10 - N10
12,Leao,CD,31-Dec-19,11,NA,10,N11,-3.869681,-32.437074,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,23-Feb-20,25-Feb-20,SU,92,9,52,163,54,NA,GPS 10 - N11
13,Leao,CD,3-Jan-20,12,00:10,11,N12,-3.869633,-32.436276,BRA 21620,BRA 21622,NA,NA,NA,103.5,99.6,SIM,#12 - 3/1/20 - BRA21620/ BRA21622,I,896702,1/4/2020 00:30,2/22/2020 21:25,NA,NA,NA,NA,NA,21-Feb-20,22-Feb-20,SU,85,0,2,87,49,SIM - 32 filhotes,GPS 11 - N12
14,Leao,CD,6-Jan-20,13,22:20,11,N13,-3.869772,-32.436939,NA,NA,BRA 21606,BRA 21609,NA,113.4,107.5,SIM,#13 - 06/01/20 - BRA21606/ BRA21609,I,896729,1/7/2020 00:46,2/28/2020 21:55,NA,NA,NA,NA,NA,27-Feb-20,28-Feb-20,SU,109,0,4,113,52,NAO,"GPS 11 - N13 - No dia da abertura foi observado rastros de caranguejos proximos ao ninho, provavelmente os caranguejos podem ter pego os filhotes."
15,Leao,CD,8-Jan-20,14,20:15,11,N14,-3.869892,-32.437213,NA,NA,BR 20516,BR 20517,NA,123.9,109.1,SIM,#14 - 08/01/20 - BR20516/ BR20517,I,896717,1/8/2020 23:02,2/29/2020 23:10,NA,NA,NA,NA,NA,29-Feb-20,29-Feb-20,SU,90,0,55,145,52,SIM - 32 filhotes,GPS 11 - N14 - presenca de anol na nadadeira anterior equerda (nao conseguimos tirar).
16,Leao,CD,8-Jan-20,15,20:15,10,N15,-3.86951,-32.436165,NA,NA,BR 38657,BR 38683,NA,108.4,102.3,SIM,#15 - 08/01/20 - BR38657/ BR38683,I,896725,1/8/2020 21:42,3/3/2020 20:40,NA,NA,NA,NA,NA,3-Mar-20,3-Mar-20,SU,90,1,8,99,55,NAO,GPS 10 - N15
17,Leao,CD,8-Jan-20,16,00:15,11,N16,-3.86995,-32.438509,NA,NA,BR 83334,BRA 21610,NA,111,109.5,SIM,#16 - 08/01/20 - BR83334/ BRA21610,I,896701,1/9/2020 01:43,3/1/2020 20:48,NA,NA,NA,NA,NA,29-Feb-20,1-Mar-20,SU,56,17,10,78,52,NAO,GPS11 - N16 - desovou 7 ovos fora do ninho enquanto voltava para agua.
18,Leao,ML,12-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20.
19,Leao,ML,12-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:21.
20,Leao,ML,12-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:22.
21,Leao,CD,13-Jan-20,17,20:22,10,N17,-3.870055,-32.43765,BRA 21614,BRA 21615,NA,NA,NA,106,103.4,SIM,#17 - 13/01/20 - BRA21614/ BRA21615,I,896720,1/13/2020 20:30,3/4/2020 23:15,NA,NA,NA,NA,NA,4-Mar-20,4-Mar-20,SU,62,25,3,90,51,SIM - 32 filhotes,GPS 10 - N17
22,Leao,CD,13-Jan-20,18,20:22,11,N18,-3.870023,-32.437858,BRA 21627,NA,BR 83329,NA,NA,112.4,108.3,SIM,#18 - 13/01/20 - BR83329/ BRA21627,I,896722,1/13/2020 21:33,3/3/2020 21:24,NA,NA,NA,NA,NA,3-Mar-20,3-Mar-20,SU,102,0,5,107,50,SIM- 32 filhotes,GPS 11 - N18
23,Leao,CD,13-Jan-20,19,02:40,10,N19,-3.869399,-32.4357,NA,NA,NA,NA,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GPS 10 - N19. Tartaruga subiu pelo ""rio"", nao deixando rastro de subida. Foi avistada ja voltando para agua as 2:40. "
24,Leao,ML,14-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
25,Leao,CD,15-Jan-20,20,22:00,10,N20,-3.86978,-32.437,BRA 21616,BRA 21617,NA,NA,NA,112.6,103.4,SIM,#20-15/01/20-BRA21616/ BRA21617,I,881575,1/15/2020 22:50,3/5/2020 07:54,NA,NA,NA,NA,NA,4-Mar-20,5-Mar-20,SU,67,3,17,87,49,SIM - 32 filhotes,GPS 10 - N20
26,Leao,CD,16-Jan-20,21,20:25,11,N21,-3.86966,-32.43631,NA,NA,BRA 21607,BRA 21608,NA,98.4,96.5,SIM,#21-16/01/20-BRA21607/ BRA21608,I,896721,1/16/2020 21:20,3/4/2020 01:19,NA,NA,NA,NA,NA,3-Mar-20,3-Mar-20,SU,67,0,30,97,47,SIM - 67 filhotes,GPS 11 - N21
27,Leao,CD,16-Jan-20,22,20:25,10,N22,-3.86969,-32.43677,BRA 21643,NA,BR 77078,NA,NA,122.5,112.1,SIM,#22-16/01/20-BRA21643/ BR77078,I,896694,1/16/2020 23:06,3/5/2020 08:08,NA,NA,NA,NA,NA,4-Mar-20,5-Mar-20,SU,109,0,14,123,48,SIM - 32 filhotes,GPS 10 - N22. Marca BR na nadadeira posterior direita e marca BRA entre  a segunda e terceira escama da nadadeira anterior esquerda. Muitas cicatrizes de marca. Muito gordinha.
28,Leao,CD,16-Jan-20,23,21:15,11,N23,-3.86965,-32.43632,NA,NA,BRA 21622,BRA 21620,NA,102.8,98,SIM,#23-16/01/20-BRA21620/ BRA21622,I,880878,1/16/2020 22:44,3/7/2020 20:55,NA,NA,1,NA,NA,6-Mar-20,7-Mar-20,SU,49,0,35,84,50,NAO,GPS 11 - N23. Alguma tartaruga furou 1 ovo e desenterrou 6 (foram recolocados no ninho).
29,Leao,CD,17-Jan-20,24,20:30,11,N24,-3.86971,-32.43674,NA,NA,BRA 21606,BRA 21609,NA,113.4,107.4,SIM,#24-17/01/20-BRA21606/ BR21609,I,896711,1/17/2020 23:27,3/10/2020 21:41,NA,NA,NA,NA,NA,9-Mar-20,10-Mar-20,SU,108,1,4,113,52,NAO,GPS11 - N24. Possive marca de interacao com barco (marca da cabeca e carapaca). Marca profunda de copula.
30,Leao,CD,17-Jan-20,25,20:38,10,N25,-3.86999,-32.43847,BRA 21618,NA,BR 98337,NA,NA,112.7,102,SIM,#25-17/01/20-BRA21618/ BR98337 ,I,881571,1/17/2020 22:04,3/5/2020 20:54,NA,NA,NA,NA,NA,5-Mar-20,5-Mar-20,SU,77,2,23,102,48,SIM - 77 filhotes,GPS 10 - N25. Cicatiz de marca na nadeira anterior. Anilha na nadeira posterior.
31,Leao,CD,18-Jan-20,26,21:56,10,N26,-3.8696,-32.43637,NA,NA,BR 20516,BR 20517,NA,124.9,109,SIM,#26 - 18/01/20 - BR20516/ BR20517,I,896718,1/19/2020 00:46,3/8/2020 22:30,NA,NA,NA,NA,NA,8-Mar-20,8-Mar-20,SU,101,13,18,132,50,NAO,"GPS 10 - N26. As 23:20 ela cavou o ninho 23 e estourou um ovo e retirou seis ovos, colocados de volta. Ela desistiu dessa camara e foi fazer nova cama. "
32,Leao,CD,19-Jan-20,27,23:24,11,N27,-3.86942,-32.4356,NA,NA,BR 38657,BR 38683,NA,108.6,102.9,SIM,#27-19/01/20-BR38657/ BR38683,I,896712,1/20/2020 00:51,3/11/2020 22:00,NA,NA,NA,NA,NA,10-Mar-20,11-Mar-20,SU,114,10,4,128,51,SIM - 32 filhotes,GPS 11 - N27. Casio na nadadeira anterior direita.
33,Leao,ML,19-Jan-20,NA,01:45,NA,NA,NA,NA,NA,NA,BRA 21610,BR 83334,NA,110.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tartaruga descendo.
34,Leao,ML,19-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 22:25 e 23:25.
35,Leao,ML,20-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes das 20:30.
36,Leao,CD,20-Jan-20,28,01:40,11,N28,-3.87,-32.43806,NA,NA,BR 83334,BRA 21610,NA,111.3,109.1,SIM,#28-20/01/20-BR83334/ BRA21610,I,NA,NA,NA,NA,NA,NA,NA,NA,11-Mar-20,13-Mar-20,SU,47,4,14,65,51,NAO,GPS 11 - N28.
37,Leao,ML,20-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 3:10  e 4:10.
38,Leao,CD,22-Jan-20,29,20:30,10,N29,-3.86947,-32.4365,BRA 21641,BRA 21632,NA,NA,NA,105,98,SIM,#29-22/01/20-BRA21641/ BRA21632,I,NA,NA,NA,NA,NA,NA,NA,NA,12-Mar-20,14-Mar-20,SU,95,1,5,101,50,SIM - 93 filhotes,GPS 10 - N29. Cicatriz de marca na nadadeira anterior direita.
39,Leao,ML,24-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20.
40,Leao,CD,24-Jan-20,30,20:20,11,N30 (I) e N30 (P),-3.86944,-32.4357,NA,NA,BR 26380,BRA 21602,NA,110.8,104.8,SIM,#30-24/01/20-BR26380/ BRA21602,P,NA,NA,NA,A,151,0,-3.86941,-32.43566,10-Mar-20,13-Mar-20,SU,99,19,33,151,46,NAO,GPS 11 - N30. Transferencia por risco de inundacao.
41,Leao,CD,24-Jan-20,31,20:20,10,N31,-3.86951,-32.43617,NA,NA,BR 83329,BRA 21627,NA,113.7,107,SIM,#31-24/01/20-BR83329/ BRA21627,I,NA,NA,NA,NA,NA,NA,NA,NA,17-Mar-20,19-Mar-20,SU,91,2,20,113,53,NAO,GPS 10 - N31. 
42,Leao,CD,25-Jan-20,32,20:15,11,N32,-3.869515,-32.435984,NA,NA,BRA 21614,BRA 21615,NA,106.5,103.2,SIM,#32-25/01/20-BRA21614/ BRA21615,I,NA,NA,NA,NA,NA,NA,NA,NA,17-Mar-20,19-Mar-20,SU,90,0,3,93,52,NAO,GPS 11 - N32. 1 ovo anomalo.
43,Leao,ML,25-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 21:30  e 22:30.
44,Leao,CD,25-Jan-20,33,22:25,11,N33,-3.870026,-32.437861,BRA 21603,NA,BR 53308,NA,NA,105,104,SIM,#33-25/01/20-BRA21603/ BR53308,I,NA,NA,NA,NA,NA,NA,NA,NA,16-Mar-20,16-Mar-20,SU,83,1,8,92,51,SIM - 83 filhotes,GPS 11 - N33. Marca colocada na nad posterior esquerda. Carapaca anomala e cicatriz de queloide nas nadadeiras anteriores.
45,Leao,ML,27-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20.
46,Leao,CD,27-Jan-20,34,20:28,10,N34,-3.86963,-32.43631,NA,NA,BRA 21616,BRA 21617,NA,112.1,103.6,SIM,#34-27/01/20-BRA21616/ BRA21617,I,NA,NA,NA,NA,NA,NA,NA,NA,18-Mar-20,21-Mar-20,SU,93,0,6,99,51,NAO,GPS 10 - N34
47,Leao,CD,27-Jan-20,35,20:30,11,N35,-3.869856,-32.437215,NA,NA,BR 77078,BRA 21643,NA,124.5,114.6,SIM,#35-27/01/20-BR77078/ BRA21643,I, NA,NA,NA,NA,NA,NA,NA,NA,18-Mar-20,19-Mar-20,SU,110,0,6,116,51,NAO,GPS 11 - N 35
48,Leao,ML,27-Jan-20,NA,22:00,NA,NA,NA,NA,NA,NA,BR 98337,BRA 21618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tartaruga descendo.
49,Leao,SD,27-Jan-20,NA,22:08,NA,NA,NA,NA,NA,NA,BR 20516,BR 20517,NA,124.7,109,SIM,#SD-27/01/20-BR20516/ BR20517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fez varias camas e desistiu, ficou na praia ate 2:30."
50,Leao,SD,28-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20. Comecou a cama e desceu.
51,Leao,SD,28-Jan-20,NA,04:00,NA,NA,NA,NA,NA,NA,BR 20516,BR 20517,NA,124.7,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anzol foi englobado pela pele, da pra sentir ao passar a mao."
52,Leao,ML,29-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20.
53,Leao,ML,29-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:20.
54,Leao,ML,29-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:21.
55,Leao,ML,29-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência antes de 20:22.
56,Leao,CD,29-Jan-20,36,20:30,10,N36,-3.86978,-32.43759,NA,NA,BRA 21606,BRA 21609,NA,114.5,107.6,SIM,#36-29/01/20- BRA 21606/ BRA21609,I,NA,NA,NA,NA,NA,NA,NA,NA,19-Mar-20,20-Mar-20,SU,78,3,11,92,50,NAO,"GPS 10 - N36. 1 ovo anomalo - 2 ""tripa"" (foto)."
57,Leao,ML,29-Jan-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ocorrência entre 21:30  e 22:30.
58,Leao,SD,29-Jan-20,NA,22:15,11,SD02,-3.87,-32.43923,NA,NA,BRA 21618,BR 98337,NA,112.7,102,SIM,#SD-29/01/20-BRA 21618/ BR98337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GPS 11 - SD02.
59,Leao,ML,29-Jan-20,NA,22:35,NA,NA,NA,NA,NA,NA,BRA 21620,BRA 21622,NA,103.6,98.7,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
60,Leao,ML,29-Jan-20,NA,22:37,NA,NA,NA,NA,NA,NA,BR 38657,BR 38683,NA,109.9,102.6,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
61,Leao,CD,29-Jan-20,37,23:08,11,N37,-3.86999,-32.43802,NA,NA, BRA 21607,BRA 21608,NA,99.6,97,SIM,#37-29/01/20-BRA 21607/ BRA 21608,I,NA,NA,NA,NA,NA,NA,NA,NA,19-Mar-20,20-Mar-20,SU,75,1,7,83,50,NAO,GPS 11 - N37. 1 ovo anomalo pequeno.
