N_REGISTRO,PRAIA,TIPO_REG,TURTLE ID,DATA_OCORR,N_NINHO,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,Tempo de incubacao,Hatching success,OBSERVACAO
208,Leao,CD,F22,26-Mar-2021,94,0:12,11,163,-3.86961,-32.43692,NA,NA,BRA 21700,BRA 27959,NA,NA,NA,NAO,NA,I,880878,27-Mar-2021 01:23,17-May-2021 01:40,NA,NA,NA,NA,NA,16-May-2021,16-May-2021,SU,103,2,5,110,SIM - 32 filhotes,32,51,93.6,GPS 11 - 163 - F22 (esmalte retocado).
209,Leao,CD,F2,27-Mar-2021,95,20:20,11,165,-3.87003,-32.43789,NA,NA,BR 38662,BRA 27902,NA,NA,NA,NAO,NA,I,896702,27-Mar-2021 20:29,18-May-2021 00:13,NA,NA,NA,NA,NA,17-May-2021,17-May-2021,SU,125,1,2,128,SIM - 32 filhotes,32,51,97.7,GPS 11 - 165 - F2 (esmalte retocado).
210,Leao,ML,NA,29-Mar-2021,NA,NA,10,144,-3.87013,-32.43760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 144. Antes das 20:05.
211,Leao,ML,NA,29-Mar-2021,NA,NA,10,145,-3.87039,-32.43823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 145. Antes das 20:05.
212,Leao,ML,NA,29-Mar-2021,NA,NA,10,146,-3.87042,-32.43833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 146. Antes das 20:05.
213,Leao,CD,F24,30-Mar-2021,96,20:07,10,147,-3.86994,-32.43770,NA,NA,BRA 27961,BR 83201,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,19-May-2021,19-May-2021,SU,42,1,52,95,SIM - 32 filhotes,32,50,44.2,GPS 10 - 147 - F24. Tartaruga flagrada no final do processo não foi possível realizar todos os procedimentos e o ninho foi encontrado depois que ela desceu.
214,Leao,ML,F13,30-Mar-2021,NA,20:15,11,166,-3.87003,-32.43789,NA,NA,BRA 27915,BRA 27948,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-166 F13
215,Leao,SD,F13,30-Mar-2021,NA,22:18,11,168,-3.87009,-32.43811,NA,NA,BRA 27915,BRA 27948,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-168 F13 Desceu 00:57
216,Leao,ML,NA,30-Mar-2021,NA,NA,11,167,-3.87047,-32.43953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11- 167 Antes das 20:15
217,Leao,CD,NA,30-Mar-2021,97,NA,10,148,-3.86963,-32.43654,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,21-May-2021,21-May-2021,SU,94,0,2,96,NAO,,52,97.9,"GPS 10-148 Tartaruga subiu antes das 20:00 e nao foi flagrada, foi visto apenas a cama e o rastro de descida por volta de 22:40. Ninho não encontrado, mas será monitorado."
218,Leao,CD,F13,31-Mar-2021,98,20:05,11,169,-3.86987,-32.43763,NA,NA,BRA 27915,BRA 27948,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,21-May-2021,21-May-2021,SU,103,3,3,109,SIM - 33 filhotes,33,51,94.5,"GPS 11 - 169 F13 (esmalte retocado). A caminho do mar foi encontrado 20 ovos em seu rastro de descida, avistado às 22:55. Os ovos foram depositados cenca de 2m do ninho e sinalizado com salsa e pedras ao redor. Na abertura foram encontrados 21 casquinhas, houve um erro de contagem dos ovos encontrados no rastro da tartaruga.  "
219,Leao,ML,NA,31-Mar-2021,NA,NA,11,170,-3.87039,-32.43899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 170. Entre a ronda das 20:00 e 21:20.
220,Leao,SD,F18,31-Mar-2021,NA,22:10,11,171,-3.87006,-32.43946,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 171 F18
221,Leao,CD,F19,01-Apr-2021,99,20:05,11,172,-3.87008,-32.43808,NA,NA,BRA 27936,BRA 06201,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,22-May-2021,22-May-2021,SU,102,0,4,106,SIM - 32 filhotes,32,51,96.2,GPS 11 - 172 - F19 (esmalte retocado).
222,Leao,CD,F3,02-Apr-2021,100,22:50,11,173,-3.86985,-32.43695,NA,NA,BRA 27905,BR 67305,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,22-May-2021,23-May-2021,SU,105,1,4,110,NAO,,50,95.5,GPS 11 - 173 F3 (esmalte retocado)
223,Leao,CD,F17,03-Apr-2021,101,2:56,11,174,-3.86984,-32.43723,NA,NA,BRA 27951,BRA 27949,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,24-May-2021,24-May-2021,SU,85,0,10,95,SIM - 32 filhotes,32,51,89.5,GPS 11 - 174 - F17 (esmalte retocado).
224,Leao,ML,NA,06-Apr-2021,NA,NA,10,149,-3.87043,-32.43844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 149 Antes das 20:25.
225,Leao,ML,F2,06-Apr-2021,NA,21:25,10,150,-3.87059,-32.43838,NA,NA,BRA 27902,BR 38662,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 -150 F2
226,Leao,ML,F9,06-Apr-2021,NA,21:37,10,151,-3.87022,-32.43702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 151 F9 ML na beira da agua
227,Leao,SD,F25,06-Apr-2021,NA,0:15,10,153,-3.87006,-32.43790,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 10 - 153 F25. Fez 8 camas desceu 6:10. Arrancou e enterrou a estaca 27, estaca foi encontrada presa a ancora e foi recolocada no lugar."
228,Leao,CD,F9,06-Apr-2021,102,1:00,10,152,-3.87002,-32.43798,NA,NA,BRA 27925,BRA 27931,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,26-May-2021,27-May-2021,SU,107,0,1,108,NAO,,50,99.1,GPS 10 - 152 F9 (esmalte retocado)
229,Leao,SD,F25,07-Apr-2021,NA,20:07,10,155,-3.87011,-32.43823,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - F25
230,Leao,CD,F2,07-Apr-2021,104,20:10,11,175 (I) e 176 (P),-3.87006,-32.43861,NA,NA,BRA 27902,BR 38662,NA,NA,NA,NAO,NA,P,NA,NA,NA,A,123,0,-3.87001,-32.43764,24-May-2021,24-May-21,SU,105,2,15,122,NAO,,47,86.1,GPS 11 -175 (I) E 176 (P) F2 (esmalte retocado).  Transferido por estar em aréa com perigo de inundação pelo segundo rio temporário que se forma com a chuva  (próximo da casinha).  
231,Leao,CD,F15,07-Apr-2021,105,20:50,10,154,-3.87009,-32.43823,NA,NA,BRA 27940,BRA 27941,NA,NA,NA,NAO,NA,I,896718,07-Apr-2021 21:53,28-May-2021 22:48,NA,NA,NA,NA,NA,26-May-2021,28-May-2021,SU,64,1,15,80,SIM - 32 filhotes,32,49,80.0,GPS 10 - 154 - F15 (esmalte retocado). 1 filhote emergiu no dia 26-May-2021 e o restante dos filhotes emergidos no dia 28-May-2021. 2 ovos anômalos grandes.
232,Leao,CD,F25,07-Apr-2021,103,0:10,11,177,-3.86990,-32.43743,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,NAO,NA,I,895561,08-Apr-2021 01:49,28-May-2021 23:01,NA,NA,NA,NA,NA,28-May-2021,28-May-2021,SU,86,2,9,97,SIM - 32 filhotes,32,51,88.7,GPS 11 - 177 F25 (esmalte retocado).
233,Leao,ML,NA,09-Apr-2021,NA,20:06,10,156,-3.86948,-32.43516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 10 - 156. Ocorrencia antes da chegada na praia, sem avistagem da fêmea."
234,Leao,SD,F26,09-Apr-2021,NA,2:40,10,157,-3.86942,-32.43572,BRA 27972,BRA 27973,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 10 - 157  F26. Tartaruga entrando na agua, nao houve tempo de fazer outros procedimentos."
235,Leao,ML,NA,10-Apr-2021,NA,NA,10,159,-3.86949,-32.43598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 159. Antes de 20:05.
236,Leao,CD,F13,10-Apr-2021,106,20:18,11,179,-3.86978,-32.43739,NA,NA,BRA 27915,BRA 27948,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,30-May-2021,31-May-2021,SU,90,0,21,111,SIM - 32 filhotes,32,50,81.1,GPS 11 - 179 F13 (esmalte retocado).
237,Leao,CD,F23,10-Apr-2021,107,20:18,10,158,-3.86997,-32.43749,NA,NA,BRA 27964,BRA 27965,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,28-May-2021,29-May-2021,SU,88,4,3,95,SIM - 32 filhotes,32,48,92.6,GPS 10 - 158 F23 (esmalte retocado).
238,Leao,CD,F26,10-Apr-2021,108,21:42,11,180,-3.86952,-32.43659,NA,NA,BRA 27972,BRA 27973,NA,109.6,101.5,SIM,#108 10/04/2021 BRA 27972/ BRA 27973,I,896720,10-Apr-2021 22:40,31-May-2021 00:06,NA,NA,NA,NA,NA,30-May-2021,30-May-2021,SU,96,1,2,99,SIM - 96 filhotes,96,50,97.0,GPS 11 - 180 - F26 (pintada). Foto ID ok - Queloide próximo a nadadeira anterior direita (foto).
239,Leao,ML,NA,10-Apr-2021,NA,NA,10,160,-3.86984,-32.43680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 160. Entre 2:00 e 3:00.
240,Leao,CD,F24,11-Apr-2021,109,20:08,10,161,-3.86992,-32.43755,NA,NA,BRA 27961,BR 83201,NA,NA,NA,SIM,#109 11/4/21 BRA 27962 BR 83201,I,896722,11-Apr-2021 20:11,02-Jun-2021 05:40,NA,NA,NA,NA,NA,01-Jun-2021,01-Jun-2021,SU,58,1,37,96,SIM - 58 filhotes,58,51,60.4,GPS 10 - 161 F24 (esmalte retocado).
241,Leao,CD,F19,13-Apr-2021,110,20:12,10,162,-3.86995,-32.43771,NA,NA,BRA 27936,BRA 06201,NA,NA,NA,NAO,NA,I,896701,13-Apr-2021 21:11,03-Jun-2021 22:00,NA,NA,NA,NA,NA,03-Jun-2021,03-Jun-2021,SU,80,4,3,87,SIM - 33 filhotes,33,51,92.0,GPS 10 - 162 F19 (esmalte retocado). Foi amostrado 32 filhotes vivos e 1 natimorto que estava em boas condições para ser amostrado.
242,Leao,CD,F25,18-Apr-2021,111,20:09,11,185,-3.86997,-32.43756,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,NAO,NA,I,896717,18-Apr-2021 21:40,08-Jun-2021 02:38,NA,NA,NA,NA,NA,07-Jun-2021,07-Jun-2021,SU,110,5,2,117,SIM - 32 filhotes,32,50,94.0,GPS 11 - 185 F25 (esmalte retocado).
243,Leao,CD,F2,18-Apr-2021,112,20:09,11,186,-3.87007,-32.43793,NA,NA,BRA 27902,BR 38662,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,08-Jun-2021,09-Jun-2021,SU,90,6,7,103,SIM - 32 filhotes,32,51,87.4,"GPS 11 - 186 F2 9esmalte retocado). Tirou parcialmente a tela do ninho 58, tela recolocada."
244,Leao,ML,F9,18-Apr-2021,NA,20:13,10,163,-3.87028,-32.43915,NA,NA,BRA 27925,BRA 27931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 163 F9.
245,Leao,ML,NA,18-Apr-2021,NA,NA,10,164,-3.87019,-32.43908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 164. Entre 22:40 e 00:00.
246,Leao,CD,F9,18-Apr-2021,113,2:45,11,189 (I) e 188 (P) ,-3.87003,-32.43832,NA,NA,BRA 27925,BRA 27931,NA,NA,NA,NAO,NA,P,NA,NA,NA,A,122,0,-3.87002,-32.43781,07-Jun-2021,07-Jun-2021,SU,104,5,5,114,SIM - 32 filhotes,32,50,91.2,"GPS 11 - 189 (I) e 188 (P) F9 (esmalte retocado).  Transferido por estar em aréa com perigo de inundação, desovou no riozinho temporário que se forma com a chuva, próximo a casinha. Devido a diferença econtrada no número de ovos transferidos e da abertura, foi feita a recontagem para confirmar. Havia muitas cascas despedaçadas o que pode ter influenciado a diferença."
247,Leao,CD,F15,20-Apr-2021,114,20:17,11,190,-3.86964,-32.43705,NA,NA,BRA 27940,BRA 27941,NA,NA,NA,NAO,NA,I,896699,20-Apr-2021 21:10,11-Jun-2021 23:12,NA,NA,NA,NA,NA,11-Jun-2021,11-Jun-2021,SU,63,5,25,93,SIM - 32 filhotes,32,52,67.7,GPS 11 - 190 F15 (esmalte retocado).
248,Leao,CD,F26,21-Apr-2021,115,0:26,11,191,-3.86968,-32.43678,NA,NA,BRA 27972,BRA 27973,NA,NA,NA,SIM,#115 21/4/21 BRA 27972/ BRA 27973,I,896694,22-Apr-2021 01:33,13-Jun-2021 19:12,NA,NA,NA,NA,NA,12-Jun-2021,13-Jun-2021,SU,93,2,2,97,SIM - 32 filhotes,32,52,95.9,GPS 11 - 191 F26 (esmalte retocado).
249,Leao,ML,NA,23-Apr-2021,NA,NA,11,192,-3.86991,-32.43652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 192. Antes das 20:12 (antes da primeira ronda).
250,Leao,ML,NA,24-Apr-2021,NA,NA,10,166,-3.86976,-32.43619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 166 Antes de 20:02.
251,Leao,CD,F24,24-Apr-2021,116,20:08,10,165,-3.86998,-32.43776,NA,NA,BRA 27961,BR 83201,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,13-Jun-2021,13-Jun-2021,SU,51,1,43,95,SIM - 27 filhotes ,27,50,53.7,GPS 10 - 165 F24 (esmalte retocado).
252,Leao,ML,F25,28-Apr-2021,NA,22:40,11,193,-3.87050,-32.43782,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 193 F25.
253,Leao,SD,F25,29-Apr-2021,NA,20:15,10,167,-3.87005,-32.43798,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 10 - 167 F25 marcas não conferidas. Derrubou e enterrou a estaca 102, estaca estava presa na ancôra e foi recolocada no lugar.   "
254,Leao,SD,F25,29-Apr-2021,NA,22:45,10,168,-3.87004,-32.43830,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 168 F25.
255,Leao,ML,F25,30-Apr-2021,NA,NA,10,170,-3.87011,-32.43813,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS10 - 170. Antes da primeira ronda 20:27.
256,Leao,CD,F25,30-Apr-2021,117,20:27,10,169,-3.87021,-32.43827,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,22-Jun-2021,30-Jun-2021,SU,85,1,3,89,NAO,,53,95.5,GPS 10 - 169 - F25 (esmalte retocado). Aberto pelo TAMAR.
257,Leao,CD,F27,01-May-2021,118,20:18,11,194,-3.87012,-32.43810,BRA 27974,BRA 27975,NA,NA,NA,110.2,100.6,SIM,#118 01/05/21 BRA 27974/ BRA 27975,I,NA,NA,NA,NA,NA,NA,NA,NA,22-Jun-2021,30-Jun-2021,SU,71,0,9,80,NAO,,52,88.8,GPS 11 - 194 - F27 (pintada). Aberto pelo TAMAR.
258,Leao,CD,F26,01-May-2021,119,20:20,11,195,-3.86997,-32.43775,NA,NA,BRA 27972,BRA 27973,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,23-Jun-2021,10-Jul-2021,SU,98,3,12,112,NAO,,53,87.5,GPS 11 - 195 F26. Aberto pelo TAMAR.
259,Leao,ML,NA,05-May-2021,NA,NA,10,171,-3.86946,-32.43512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 171. Entre 1:50 e 3:40. 
260,Leao,ML,NA,06-May-2021,NA,NA,10,172,-3.87016,-32.43734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 172. Antes das 20:10.
261,Leao,CD,F24,06-May-2021,120,20:10,10,173,-3.86965,-32.43695,NA,NA,BRA 27961,BR 83201,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,29-Jun-2021,10-Jul-2021,SU,104,0,3,107,NAO,,54,97.2,"GPS 10 - 173. F24 (esmalte retocado). Derrubou a estaca e retirou a tela do ninho 81, ambas foram recolocada no lugar. "
262,Leao,ML,NA,12-May-2021,NA,NA,10,174,-3.86949,-32.43546,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 174. Antes das 20:14.
263,Leao,CD,F28,12-May-2021,121,21:30,10,175,-3.86941,-32.43554,BRA 27966,BRA 27967,NA,NA,NA,114.3,107.2,SIM,#121 12/05/21 BRA 27966/ BRA 27967,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,4-Jul-21,SU,2,75,3,80,NAO,,,,"GPS 10 - 175 F28 (pintada). Foto ID ok. Temporariamente marcado com estaca 64. Aberto pelo TAMAR. Ninho com muitas raízes, os filhotes não conseguiram sair."
264,Leao,ML,NA,12-May-2021,NA,NA,10,176,-3.86992,-32.43704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 176. Entre 21:50 e 23:00.
265,Leao,ML,NA,12-May-2021,NA,NA,10,177,-3.87035,-32.43862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 177. Entre 21:50 e 23:00.
266,Leao,ML,NA,13-May-2021,NA,NA,11,198,-3.86948,-32.43517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 198. Antes das 20:09.
267,Leao,CD,F26,13-May-2021,122,20:15,11,197,-3.87002,-32.43798,NA,NA,BRA 27972,BRA 27973,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,3-Jul-2021,11-Jul-2021,SU,77,3,8,88,NAO,,51,87.5,GPS 11 - 197 F26 (esmalte retocado). Aberto pelo TAMAR.
268,Leao,CD,F27,13-May-2021,123,20:15,11,196,-3.87009,-32.43790,NA,NA,BRA 27974,BRA 27975,NA,NA,NA,SIM,#123 13/05/21 BRA 27974/ BRA 27975,I,NA,NA,NA,NA,NA,NA,NA,NA,3-Jul-2021,11-Jul-2021,SU,68,0,23,91,NAO,,51,74.7,GPS 11 - 196 F27 (esmalte retocado). Marca BRA 27974 na axila esquerda e BRA 27975 na axila direita. Aberto pelo TAMAR.
269,Leao,ML,NA,13-May-2021,NA,NA,11,199,-3.86995,-32.43903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 199. Antes das 20:16.
270,Leao,ML,NA,17-May-2021,NA,NA,11,ML17-5-21,-3.86946,-32.43519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - ML17-5-21. Entre 1:30 e 3:00.
271,Leao,ML,NA,18-May-2021,NA,NA,11,201,-3.86946,-32.43523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 201. Entre 22:50 e 00:10.
272,Leao,SD,F24,19-May-2021,NA,20:05,11,202,-3.86979,-32.43710,NA,NA,BRA 27961,BR 83201,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 202 F24.
273,Leao,ML,NA,20-May-2021,NA,NA,10,179,-3.86979,-32.43631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 179. 
274,Leao,CD,F24,20-May-2021,124,21:25,10,178,-3.86998,-32.43766,NA,NA,BRA 27961,BR 83201,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,28-Jul-2021,SU,69,5,28,102,NAO,,,,GPS 10 - 178 F24 (esmalte retocado). Foi observado que o ninho havia eclodido no monitorameto dia 18-Jul-2021 pelo TAMAR. Aberto pelo TAMAR.
275,Leao,CD,F28,23-May-2021,125,0:10,10,180,-3.86992,-32.43732,NA,NA,BRA 27966,BRA 27967,NA,NA,NA,SIM,#125 23/5/21 BRA 27966/ BRA 27967,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,29-Jul-2021,SU,77,3,24,104,NAO,,,,GPS 10 - 180 F28. Foi observado que o ninho havia eclodido no monitorameto dia 18-Jul-2021 pelo TAMAR. Aberto pelo TAMAR.
276,Leao,CD,F26,23-May-2021,126,3:00,10,181,-3.86977,-32.43764,NA,NA,BRA 27972,BRA 27973,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-Aug-21,SU,73,4,1,78,NAO,,,,GPS 10 - 181 F26. Aberto pelo TAMAR.
277,Leao,CD,F27,24-May-2021,127,20:15,10,182,-3.86983,-32.43718,NA,NA,BRA 27974,BRA 27975,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-Aug-21,SU,53,0,64,117,NAO,,,,GPS 10 - 182 F27. Aberto pelo TAMAR.
278,Leao,CD,F28,04-Jun-2021,128,20:10,11,205,-3.86999,-32.43778,NA,NA,BRA 27966,BRA 27967,NA,NA,NA,NAO,NA,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-Aug-21,SU,68,2,31,101,NAO,,,,GPS 11 - 205 F28 (esmalte retocado).
