N_NINHO,N_REGISTRO,PRAIA,TURTLE ID,DATA_OCORR,TIPO_REG,HORA_OCORR,GPS_ID,WAYPOINT,LATITUDE,LONGITUDE,MARCAS_COL1,MARCAS_COL2,MARCAS_ENC1,MARCAS_ENC2,MARCAS_RET,COMP_CASCO,LARG_CASCO,COLETA_MAT_FEMEAS,VIAL _N,SITUACAO,TEMP_LOGGER_ID,TEMP_LOGGER_DEPLOYED,TEMP_LOGGER_REMOVED,TEMP_TRANSF,OVOS_TRANSF,OVOS_FUR,LATITUDE_DESTINO,LONGITUDE_DESTINO,DATA_ECLOS,DATA_ABERT,HIST_NINHO,VIVOS,NATIMORTOS,OVOS_N_ECL,OVOS_TOT,COLETA_MAT_Filhotes,Filhotes amostrados,INCUBACAO,Hatching success,OBSERVACAO
NA,169,Leao,NA,15-Mar-21,ML,NA,11,142,-3.86989,-32.4369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 142. Entre 22:00 e 22:50. 
NA,178,Leao,NA,17-Mar-21,ML,NA,11,152,-3.86955,-32.43492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 152. Antes das 20:07
NA,183,Leao,NA,18-Mar-21,ML,NA,11,153,-3.87008,-32.43999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 153. Antes das 20:25
NA,184,Leao,F17,18-Mar-21,ML,21:28,10,129,-3.86948,-32.43535,NA,NA,BRA 27949,BRA 27951,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 129 F17
NA,190,Leao,NA,21-Mar-21,ML,NA,10,134,-3.8695,-32.43512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10-134 Entre 00:20 e 1:30
NA,191,Leao,F10,21-Mar-21,ML,01:43,10,135,-3.86948,-32.43519,NA,NA,BR 77094,BRA 06231,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10-135 F10
NA,194,Leao,NA,23-Mar-21,ML,NA,11,156,-3.86981,-32.43641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-156 Antes das 20:03
NA,197,Leao,NA,25-Mar-21,ML,NA,11,159,-3.86959,-32.43568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-159 Antes das 19:55
NA,198,Leao,F25,25-Mar-21,ML,19:58,11,158,-3.86999,-32.43675,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-158 F25
NA,199,Leao,F22,25-Mar-21,ML,22:20,11,161,-3.8703,-32.43758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-161 F22 Nao foi possivel conferir as marcas tartaruga entrando na agua
NA,200,Leao,NA,25-Mar-21,ML,NA,11,160,-3.86966,-32.43583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-160 Entre 22:20 e 23:00
NA,201,Leao,NA,25-Mar-21,ML,NA,10,139,-3.86952,-32.43537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10-139 Entre 00:20 e 01:20
NA,202,Leao,F12,25-Mar-21,ML,02:15,10,140,-3.86947,-32.43532,NA,NA,BRA 27932,BRA 27934,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10-140 F12
NA,203,Leao,F22,25-Mar-21,ML,02:40,10,141,-3.87026,-32.43784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10-141 F22 Nao foi possível conferir as marcas tartaruga entrando na agua.
NA,210,Leao,NA,29-Mar-21,ML,NA,10,144,-3.87013,-32.4376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 144. Antes das 20:05.
NA,211,Leao,NA,29-Mar-21,ML,NA,10,145,-3.87039,-32.43823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 145. Antes das 20:05.
NA,212,Leao,NA,29-Mar-21,ML,NA,10,146,-3.87042,-32.43833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 146. Antes das 20:05.
NA,214,Leao,F13,30-Mar-21,ML,20:15,11,166,-3.87003,-32.43789,NA,NA,BRA 27915,BRA 27948,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-166 F13
NA,216,Leao,NA,30-Mar-21,ML,NA,11,167,-3.87047,-32.43953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11- 167 Antes das 20:15
NA,219,Leao,NA,31-Mar-21,ML,NA,11,170,-3.87039,-32.43899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 170. Entre a ronda das 20:00 e 21:20.
NA,224,Leao,NA,6-Apr-21,ML,NA,10,149,-3.87043,-32.43844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 149 Antes das 20:25.
NA,225,Leao,F2,6-Apr-21,ML,21:25,10,150,-3.87059,-32.43838,NA,NA,BRA 27902,BR 38662,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 -150 F2
NA,226,Leao,F9,6-Apr-21,ML,21:37,10,151,-3.87022,-32.43702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 151 F9 ML na beira da agua
NA,233,Leao,NA,9-Apr-21,ML,20:06,10,156,-3.86948,-32.43516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 10 - 156. Ocorrencia antes da chegada na praia, sem avistagem da fêmea."
NA,235,Leao,NA,10-Apr-21,ML,NA,10,159,-3.86949,-32.43598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 159. Antes de 20:05.
NA,239,Leao,NA,10-Apr-21,ML,NA,10,160,-3.86984,-32.4368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 160. Entre 2:00 e 3:00.
NA,244,Leao,F9,18-Apr-21,ML,20:13,10,163,-3.87028,-32.43915,NA,NA,BRA 27925,BRA 27931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 163 F9.
NA,245,Leao,NA,18-Apr-21,ML,NA,10,164,-3.87019,-32.43908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 164. Entre 22:40 e 00:00.
NA,249,Leao,NA,23-Apr-21,ML,NA,11,192,-3.86991,-32.43652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 192. Antes das 20:12 (antes da primeira ronda).
NA,250,Leao,NA,24-Apr-21,ML,NA,10,166,-3.86976,-32.43619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 166 Antes de 20:02.
NA,252,Leao,F25,28-Apr-21,ML,22:40,11,193,-3.8705,-32.43782,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 193 F25.
NA,255,Leao,F25,30-Apr-21,ML,NA,10,170,-3.87011,-32.43813,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS10 - 170. Antes da primeira ronda 20:27.
NA,259,Leao,NA,5-May-21,ML,NA,10,171,-3.86946,-32.43512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 171. Entre 1:50 e 3:40. 
NA,260,Leao,NA,6-May-21,ML,NA,10,172,-3.87016,-32.43734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 172. Antes das 20:10.
NA,262,Leao,NA,12-May-21,ML,NA,10,174,-3.86949,-32.43546,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 174. Antes das 20:14.
NA,264,Leao,NA,12-May-21,ML,NA,10,176,-3.86992,-32.43704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 176. Entre 21:50 e 23:00.
NA,265,Leao,NA,12-May-21,ML,NA,10,177,-3.87035,-32.43862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 177. Entre 21:50 e 23:00.
NA,266,Leao,NA,13-May-21,ML,NA,11,198,-3.86948,-32.43517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 198. Antes das 20:09.
NA,269,Leao,NA,13-May-21,ML,NA,11,199,-3.86995,-32.43903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 199. Antes das 20:16.
NA,270,Leao,NA,17-May-21,ML,NA,11,ML17-5-21,-3.86946,-32.43519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - ML17-5-21. Entre 1:30 e 3:00.
NA,271,Leao,NA,18-May-21,ML,NA,11,201,-3.86946,-32.43523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 201. Entre 22:50 e 00:10.
NA,273,Leao,NA,20-May-21,ML,NA,10,179,-3.86979,-32.43631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 179. 
1,1,Leao,NA,20-Dec-20,SD,NA,11,ND 1,-3.8695,-32.43648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 11 - ND 1. Não foram encontrados os ovos, foi mantida uma estaca (numero 1). Não houve eclosão, ocorrência ND modificada para SD."
NA,3,Leao,F1,25-Dec-20,SD,21:45,11,SD 25/12,-3.86991,-32.43761,BRA 21740,NA,BR 83209,NA,NA,104,97.5,SIM,#SD-25/12/20 BR 83209/BRA 21740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - SD 25/12 - F1.
2,4,Leao,NA,28-Dec-20,SD,NA,11,4,-3.86971,-32.43684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 11 - 4. Não foram encontrados os ovos, foi mantida uma estaca (numero 2). Não houve eclosão, ocorrência ND modificada para SD. "
NA,7,Leao,NA,3-Jan-21,SD,NA,11,SD03-01-21,-3.86989,-32.4376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - SD03-01-21.
NA,11,Leao,F1,14-Jan-21,SD,23:40,10,51,-3.86996,-32.43734,NA,NA,BR 83209,BRA 21740,NA,104,98.7,SIM,14/01/21 BR 83209/ BRA 21740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 051 - F1. Foto ID ok.
NA,15,Leao,F3,21-Jan-21,SD,01:43,11,37,-3.86976,-32.43681,BRA 27905,NA,BR 67305,NA,NA,106,102,SIM,21/01/21 BR 67305/ BRA 27905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 037 - F3.
NA,21,Leao,NA,26-Jan-21,SD,NA,11,42,-3.87025,-32.43964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 042. Ocorrencia antes das 20:23.
NA,26,Leao,F2,28-Jan-21,SD,20:15,11,44,-3.8699,-32.43737,NA,NA,BRA 27902,BR 38662,NA,119,113,SIM,28/01/21 - BR 38662 / BRA 27902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 044 - F2 (estava pintado lado direito). Desceu 22:30 fez 4 camas.
NA,32,Leao,NA,4-Feb-21,SD,NA,11,48,-3.87042,-32.43807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 048. Ocorrência entre 00:15 e 1:30.
NA,51,Leao,F1,9-Feb-21,SD,02:59,11,71,-3.86971,-32.43678,NA,NA,BR 83209,BRA 21740,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 071 - F1.
NA,56,Leao,F7,11-Feb-21,SD,21:42,10,73,-3.86973,-32.43703,NA,NA,BRA 27917,BRA 27918,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 073 - F7.
NA,59,Leao,F14,13-Feb-21,SD,21:30,10,75,-3.86948,-32.43566,BRA 27938,BRA 27937,NA,NA,NA,110.4,104,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 074 - F14. Marca BRA 27937 colocada acidentalmente em cima da segunda escama da escama da nad direita (tartaruga andando). 
NA,64,Leao,F16,17-Feb-21,SD,20:15,11,78,-3.87005,-32.43937,BRA 27942,BRA 27943,NA,NA,NA,105.9,100,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 078 - F16 (pintada). Foto ID ok. Protuberância na parte proximal da nadadeira esquerda (foto). 
NA,83,Leao,F2,21-Feb-21,SD,00:06,10,86,-3.86998,-32.43759,NA,NA,BR 38662,BRA 27902,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 086 - F2
NA,104,Leao,F15,1-Mar-21,SD,20:45,11,104,-3.86991,-32.43745,NA,NA,BRA 27940,BRA 27941,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 -104 - F15
NA,105,Leao,F20,1-Mar-21,SD,21:05,11,105,-3.86987,-32.43738,BRA 27958,NA,BRA 27957,NA,NA,106.3,101,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 105 - F20
NA,106,Leao,F4,2-Mar-21,SD,20:10,11,110,-3.86988,-32.43736,NA,NA,BRA 27908,BRA 27909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11- 110 F4
NA,111,Leao,F8,2-Mar-21,SD,21:30,11,112,-3.86981,-32.43737,BRA 27962,NA,BRA 27901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 112 - F8. Perdeu 1 marca marca BRA 27962 colocada entre a 2 e 3 escama na nadadeira direita.
NA,112,Leao,F16,2-Mar-21,SD,22:38,11,114,-3.86985,-32.43691,NA,NA,BRA 27942,BRA 27943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 114 - F16.
NA,113,Leao,F9,2-Mar-21,SD,22:50,11,109,-3.86952,-32.43644,NA,NA,BRA 27931,BRA 27925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 109 - F9.
NA,127,Leao,F1,5-Mar-21,SD,04:07,11,121,-3.86975,-32.43674,NA,NA,BRA 21740,BR 83209,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS11- 121 F1
NA,134,Leao,F3,10-Mar-21,SD,22:30,10,106,-3.87004,-32.4381,NA,NA,BRA 27905,BR 67305,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 106 - F3
NA,135,Leao,F10,10-Mar-21,SD,23:00,11,124,-3.87003,-32.43799,NA,NA,BRA 06231,BR 77094,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 11 - 124 - F10 (BR 77094 na posterior direita) - Derrubou estacas 17 e 38, estacas recolocadas no lugar."
NA,139,Leao,F10,11-Mar-21,SD,22:35,10,108,-3.86987,-32.43731,NA,NA,BRA 06231,BR 77094,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 10 - 108 - F10. Passou em cima da tela 10 e derrubou a estaca 10 sem arrebentar o fio, estaca recolocada. "
NA,141,Leao,F14,11-Mar-21,SD,03:46,10,110,-3.86946,-32.43555,NA,NA,BRA 27937,BRA 27938,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 110 - F14
NA,142,Leao,F21,12-Mar-21,SD,19:55,11,127,-3.86949,-32.43511,NA,NA,BRA 27945,BRA 27946,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-127 F21 (pintura em bom estado)
NA,144,Leao,F23,12-Mar-21,SD,04:37,11,128,-3.86947,-32.4352,BRA 27964,BRA 27965,NA,NA,NA,107,95.5,SIM,#12/03/21 BRA 27964/BRA 27965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS11- 128 F23 Foto ID ok.
NA,146,Leao,NA,13-Mar-21,SD,NA,10,112,-3.86945,-32.43538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 112 - Entre 20:05 e 21:30
NA,149,Leao,F21,13-Mar-21,SD,21:35,10,115,-3.8695,-32.4351,NA,NA,BRA 27945,BRA 27946,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 115 - F21
NA,151,Leao,F21,14-Mar-21,SD,20:00,10,118,-3.86956,-32.43492,NA,NA,BRA 27945,BRA 27946,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10- 118 F21
NA,162,Leao,F9,14-Mar-21,SD,04:30,10,122,-3.86959,-32.43631,NA,NA,BRA 27925,BRA 27931,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 122 - F9
NA,163,Leao,F21,15-Mar-21,SD,20:04,11,137,-3.86949,-32.43519,NA,NA,BRA 27945,BRA 27946,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 137 F21
NA,168,Leao,F6,15-Mar-21,SD,22:00,11,139,-3.86977,-32.43715,NA,NA,BRA 27903,BRA 27904,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 139 - F6
NA,172,Leao,F11,15-Mar-21,SD,05:00,11,144,-3.87008,-32.43808,NA,NA,BRA 27924,BRA 27960,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 144 F11
NA,173,Leao,F24,16-Mar-21,SD,20:05,10,125,-3.86978,-32.43696,NA,NA,BRA 27961,BR 83201,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10-125 F24
NA,174,Leao,F16,16-Mar-21,SD,20:06,10,126,-3.86974,-32.43699,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10-126 F16 marcas nao conferidas
NA,177,Leao,F20,16-Mar-21,SD,22:49,11,149,-3.86988,-32.43765,NA,NA,BRA 27957,BRA 27958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11- 149 F20
NA,185,Leao,F18,18-Mar-21,SD,01:25,11,154,-3.87012,-32.43813,NA,NA,BRA 27952,BRA 27954,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 154 F18
NA,189,Leao,F3,21-Mar-21,SD,22:35,11,155,-3.86971,-32.4373,NA,NA,BR 67305,BRA 27905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11- 155 F3
NA,215,Leao,F13,30-Mar-21,SD,22:18,11,168,-3.87009,-32.43811,NA,NA,BRA 27915,BRA 27948,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11-168 F13 Desceu 00:57
NA,220,Leao,F18,31-Mar-21,SD,22:10,11,171,-3.87006,-32.43946,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 171 F18
NA,227,Leao,F25,6-Apr-21,SD,00:15,10,153,-3.87006,-32.4379,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 10 - 153 F25. Fez 8 camas desceu 6:10. Arrancou e enterrou a estaca 27, estaca foi encontrada presa a ancora e foi recolocada no lugar."
NA,229,Leao,F25,7-Apr-21,SD,20:07,10,155,-3.87011,-32.43823,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - F25
NA,234,Leao,F26,9-Apr-21,SD,02:40,10,157,-3.86942,-32.43572,BRA 27972,BRA 27973,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 10 - 157  F26. Tartaruga entrando na agua, nao houve tempo de fazer outros procedimentos."
NA,253,Leao,F25,29-Apr-21,SD,20:15,10,167,-3.87005,-32.43798,NA,NA,NA,NA,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"GPS 10 - 167 F25 marcas não conferidas. Derrubou e enterrou a estaca 102, estaca estava presa na ancôra e foi recolocada no lugar.   "
NA,254,Leao,F25,29-Apr-21,SD,22:45,10,168,-3.87004,-32.4383,NA,NA,BRA 27970,BRA 27971,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 10 - 168 F25.
NA,272,Leao,F24,19-May-21,SD,20:05,11,202,-3.86979,-32.4371,NA,NA,BRA 27961,BR 83201,NA,NA,NA,NAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,GPS 11 - 202 F24.
