Season,Date,year,month,Time,Turtle ID,ID only males,Capture Location,Depth (m),"Activity type (capture, boat)",Dive ID,Transect ID,GPS_Y,GPS_X,Tag status,Tag_Scars,Tag_Scar_Loc,Tags_Fouled,Tags_Fouled_Comment,Flipper_Tag_#1,Flipper_Tag_#2,Flipper_Tag_#3,Species,CCL_Std_cm n-t,CCL_Min n-n,CCL_Width_cm,Tail_Tip_mm,Tail_Vent_mm,Weight_kg,Sex,Body_Condition,Flipper_Damage,Flipper_Dmg_Comment,Carapace_Damage,Carapace_Dmg_Comment,Mouth_Check,Mouth_Check_Comment,Leeches,Leeches_Comment,Coccoons,Coccoons_Comment,Barnacles_Scutes,Barnacles_Scales,FP,FP_Tumor_Score,FP_Balazs_Score,Other_Epibionts,Blood,Biopsy,Vial_Label,Scute,Other_Sample,Other_Sample_Comment,Samples_For_Others,Photos,Notes,Satellite_Tag,Sat_Tag_Serial_#,Sat_Tag_PTT_#,Release_GPS_Y,Release_GPS_X,Release_Date,Release_Time,Acoustic_Tag,Comments ,
3,26-Dec-21,2021,12,10:30:00,29,24,Leão,6,Boat,140,NA,-3.87270,-32.43227,New recruit,NO,NA,NA,NA,BRA 27984,BRA 27985,,CM,96,NA,88,38,27.5,NA,Male,Good,YES,"There was fresh scars on the right front flipper, and both hind flippers - see photos",NO,NA,YES,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,26-Dec-2021 BRA 27984 BRA 27985,NO,NA,NA,NA,YES,Plastron 74.5 cm; GPS 11; Dive ID 140; there was scars on the tail; M2,YES,21A0834,226067,-3.872364,-32.435317,12/26/2021,12:33:00,NO,SPLASH,
3,26-Dec-21,2021,12,14:14:00,30,25,Leão,1,Boat,142,NA,-3.87422,-32.43082,New recruit,NO,NA,NA,NA,BRA 27982,BRA 27983,,CM,93,NA,86,42,34,NA,Male,Good,YES,The point of the right front flipper was cutted and healed,NO,NA,YES,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,26-Dec-2021 BRA 27982 BRA 27983,NO,NA,NA,NA,YES,Plastron 76 cm; GPS 11; Dive ID 142; M3,YES,21A0836,226068,-3.874019,-32.432897,12/26/2021,16:00:00,NO,SPLASH,
3,11-Jan-22,2022,1,10:02:00,19,17,Leão,12,Boat,143,NA,-3.87247,-32.43284,Recapture,NO,NA,NA,NA,BRA 21731,BRA 21741,,CM,108.3,NA,98.2,44,32.5,NA,Male,Robust,YES,There was a missing part close to the tip of both front flippers,YES,There some scars close to the nuchal,YES,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,YES,NO,YES,11-Jan-2022 BRA 21731 BRA 21741,NO,NA,NA,NA,YES,Brown alge coevering the carapace; small nodule in the neck; Plastron 81 cm; M4 painted; the acrylic adhesive delayed to dry and we opened a new one that worked ok.,YES,21A0837,226069,-3.87404,-32.43258,01/11/2022,13:46:00,NO,SPLASH,
3,14-Jan-22,2022,1,13:05:00,31,26,Leão,16,Boat,154,NA,-3.87504,-32.43201,New recruit,NO,NA,NA,NA,BRA 27988,BRA 27989,,CM,103.2,NA,92.2,51,38,NA,Male,Robust,NO,NA,NO,NA,YES,NA,NO,"There was some holes left behind, what reminds leeches, but not sure",NO,NA,NO,YES,NO,NA,NA,NO,NO,YES,14-Jan-2022 BRA 27988 BRA 28989,NO,NA,NA,NA,YES,"M5 painted; Plastron 79.0 cm; few barnacles on front flippers; holes on the body that reminds leeches, but no leeches was found",YES,21A0838,226070,-3.87401,-32.43253,01/14/2022,15:50:00,NO,SPLASH,
3,14-Jan-22,2022,1,15:49:00,6,6,Leão,16,Boat,155,NA,-3.87418,-32.43228,Recapture,NO,NA,Moderate,NA,BRA 21605,BRA 21624,,CM,102.5,NA,93.7,44.4,35,NA,Male,Robust,YES,Left front scars,YES,Small marks - see pictures,YES,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,14-Jan-2022 BRA 21624 BRA 21605,NO,NA,NA,NA,YES,M6 painted; Plastron 80 cm; ,YES,21A0839,226071,-3.87434,-32.43287,01/14/2022,17:57:00,NO,SPLASH,
3,20-Jan-22,2022,1,13:05:00,32,27,Leão,17,Boat,158,NA,-3.87525,-32.43207,New recruit,NO,NA,NA,NA,BRA 27981,BRA 27999,,CM,103.5,NA,100.3,49.5,40.5,NA,Male,Good,YES,missing the hind right flipper,NO,NA,YES,NA,NO,NA,NO,NA,NO,NA,NO,NA,NA,NO,NO,YES,20-Jan-2022 BRA 27981 BRA 27999,NO,NA,NA,NA,YES,Plastron 79.4; M7 painted; tag BRA 27999 at front right flipper; PTT splash; Boat dive ID 158,YES,21A0840,226072,-3.87157,-32.43679,01/20/2022,15:52:00,NO,SPLASH,
3,29-Jan-22,2022,1,8:51:00,33,28,Leão,15,Boat,165,NA,-3.87515,-32.43086,New recruit,NO,NA,NA,NA,BRA 27838,BRA 27839,,CM,108.1,NA,98.6,47,37.5,NA,Male,Good,YES,"Hind right flipper, front left flipper",YES,Marks close the nuchal,YES,NA,YES,there were leeches on the cloaca,NO,NA,NO,FEW,NO,NA,NA,NO,NO,YES,29-Jan-2022 BRA 27838 BRA 27839,NO,NA,NA,NA,YES,"Plastron 78.0, M8 painted; Dive ID 165; Boat; was copulating",YES,21A0833,226066,-3.87507,-32.43179,01/29/2022,11:48:00,NO,SPLASH,
3,29-Jan-22,2022,1,12:30:00,8,8,Leão,11,Boat,167,NA,-3.87244,-32.43235,Recapture,NO,NA,NO,NA,BRA 21655,BRA 21656,,CM,104.7,NA,95,46.5,36.3,NA,Male,Good,YES,Piece missing hind left,NO,NA,YES,Very superficial break at the front,NO,NA,NO,NA,FEW,FEW,NO,NA,NA,NO,NO,YES,29-Jan-2022 BRA 21655 BRA 21656,NO,NA,NA,NA,YES,Plastron 81 cm; scars at front left flipper; M9 painted,,21A0841,226073,-3.87249,-32.43277,01/29/2022,15:08:00,NO,SPLASH,
4,9-Jan-23,2023,1,9:30:00,34,29,Leão,10,Capture,205,NA,NA,NA,New recruit,NO,NA,NA,NA,BRA 31322,NA,,CM,NA,NA,NA,NA,NA,NA,Male,Good,YES,missing back left flipper,NO,NA,NO,NA,NO,NA,NO,NA,NO,NA,NO,NA,NA,NO,NO,NO,NA,NO,NA,NA,NA,NA,The male was resting close by condomimium and we were able to apply only one tag.,NA,NA,NA,NA,NA,01/09/2023,9:35:00,NO,NA,
4,23-Jan-23,2023,1,10:03:00,35,30,Leão,15,Capture,211,NA,NA,NA,New recruit,NO,NA,NA,NA,BRA 31323,NA,,CM,NA,NA,NA,NA,NA,NA,Male,Good,NO,NA,NO,NA,NO,NA,NO,NA,NO,NA,NO,NA,NO,NA,NA,NO,NO,NO,NA,NO,NA,NA,NA,N,we were able to apply only one tag.,,,,,,,,,,
4,15-Feb-23,2023,2,9:40:00,5,5,Leão,12,Survey,218,96,NA,NA,Recapture,NA,NA,NA,NA,BRA 21611,NA,,CM,NA,NA,NA,NA,NA,NA,Male,Good,NO,NA,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NO,NO,NO,NA,NO,NA,NA,NA,NA,"Rapid capture, was not possible to collect tissue sample, no tag on the right hind flipper, trying to copulate",NO,NA,NA,NA,NA,02/15/2023,9:40:00,NA,NA,
4,17-Feb-23,2023,2,10:27:00,36,31,Leão,10,Survey,219,97,NA,NA,New recruit,NO,NA,NA,NA,BRA 31311,BRA 31312,,CM,99.9,NA,91.0,NA,NA,NA,Male,Good,YES,Scar in front right flipper on the joint of humerus,NO,NA,NO,NA,NO,NO,NO,NO,FEW,NA,NO,NA,NA,YES,NO,YES,♂︎ID 36  17-Feb-2023 BRA 31311 BRA 31312,NO,NA,NA,NA,NA,NA,NO,NA,NA,NA,NA,02/17/2023,10:28:00,NA,NA,
4,3-Mar-23,2023,3,10:20:00,12,11,Leão,16,Boat,223,NA,-3.87439,-32.43295,Recapture,NA,NA,Moderate,NA,BRA 21730,BRA 31381,BRA 31315,CM,104.5,NA,97,NA,NA,NA,Male,Good,NO,NA,NO,NA,NO,NA,NO,NA,NO,NA,NO,FEW,NO,NA,NA,NO,NO,YES,♂︎ID 12  3-MAR-2023 BRA 21730 BRA 31381 BRA 31315,NO,NA,NA,NA,NO,"It was applied two new tags, because the first we tought that was not good enough, but aftewards we realized that was ok",NO,NA,NA,NA,NA,03/03/2023,10:25:00,NA,NA,
4,12-May-23,2023,5,18:20:00,37,32,Ilha do Meio,13,Boat,NA,NA,NA,NA,Recapture,NA,NA,YES,calcareous algae,BR 70591,BR 70592,NA,CM,NA,NA,NA,NA,NA,NA,Male,Good,YES,The front right flipper was cut at the claw level,NO,NA,NO,NA,NO,NA,NO,NA,NO,NO,NO,NA,NA,NO,NO,YES,♂︎ID 37  12-MAY-2023 BR 70591 BR 70592,NO,NA,NA,NA,NO,"Capture during recreative dive with Atlantis. We had no time to measure, but in its last capute on June 9th 2016, CCL was 112 cm and CCW 102.5 cm",NO,NA,NA,NA,NA,05/12/2023,18:21:00,NA,NA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
